Entry,Gene ontology (cellular component),Subcellular location [CC],Gene names,Signal peptide
O15355,cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.,PPM1G PPM1C,
O15371,"cytosol [GO:0005829]; eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; eukaryotic translation initiation factor 3 complex, eIF3m [GO:0071541]; membrane [GO:0016020]",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03003}.,EIF3D EIF3S7,
O43399,cytoplasm [GO:0005737]; perinuclear region of cytoplasm [GO:0048471],,TPD52L2,
O43447,cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; U4/U6 snRNP [GO:0071001]; U4/U6 x U5 tri-snRNP complex [GO:0046540],SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:9570313}. Cytoplasm {ECO:0000269|PubMed:9570313}. Note=Colocalizes with spliceosomal snRNPs. A small proportion may also be cytoplasmic.,PPIH CYP20 CYPH,
O43684,bub1-bub3 complex [GO:1990298]; condensed chromosome kinetochore [GO:0000777]; cytosol [GO:0005829]; kinetochore [GO:0000776]; mitotic checkpoint complex [GO:0033597]; nucleoplasm [GO:0005654],"SUBCELLULAR LOCATION: Nucleus. Chromosome, centromere, kinetochore {ECO:0000250}. Note=Starts to localize at kinetochores in prometaphase I (Pro-MI) stage and maintains the localization until the metaphase I-anaphase I (MI-AI) transition. {ECO:0000250}.",BUB3,
O43768,cytoplasm [GO:0005737]; nucleoplasm [GO:0005654],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,ENSA,
O43809,centrosome [GO:0005813]; cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; mRNA cleavage factor complex [GO:0005849]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; paraspeckles [GO:0042382],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15169763, ECO:0000269|PubMed:19864460, ECO:0000269|PubMed:20695905, ECO:0000269|PubMed:9659921}. Cytoplasm {ECO:0000269|PubMed:19864460}. Note=Shuttles between the nucleus and the cytoplasm in a transcription- and XPO1/CRM1-independent manner, most probably in complex with the cleavage factor Im complex (CFIm) (PubMed:19864460). In punctate subnuclear structures localized adjacent to nuclear speckles, called paraspeckles (PubMed:15169763). {ECO:0000269|PubMed:15169763, ECO:0000269|PubMed:19864460}.",NUDT21 CFIM25 CPSF25 CPSF5,
O60506,catalytic step 2 spliceosome [GO:0071013]; CRD-mediated mRNA stability complex [GO:0070937]; endoplasmic reticulum [GO:0005783]; GAIT complex [GO:0097452]; histone pre-mRNA 3'end processing complex [GO:0071204]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11574476, ECO:0000269|PubMed:17289661, ECO:0000269|PubMed:19029303}. Microsome {ECO:0000250|UniProtKB:Q7TMK9}. Endoplasmic reticulum {ECO:0000250}. Nucleus {ECO:0000250|UniProtKB:Q7TMK9}. Note=The tyrosine phosphorylated form bound to RNA is found in microsomes (By similarity). Localized in cytoplasmic mRNP granules containing untranslated mRNAs (By similarity). {ECO:0000250|UniProtKB:O43390, ECO:0000250|UniProtKB:Q7TMK9}.; SUBCELLULAR LOCATION: Isoform 1: Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q7TMK9}. Note=Expressed predominantly in the nucleoplasm. {ECO:0000250|UniProtKB:Q7TMK9}.; SUBCELLULAR LOCATION: Isoform 2: Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q7TMK9}. Note=Expressed predominantly in the nucleoplasm. {ECO:0000250|UniProtKB:Q7TMK9}.; SUBCELLULAR LOCATION: Isoform 3: Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q7TMK9}. Note=Expressed predominantly in the nucleoplasm. {ECO:0000250|UniProtKB:Q7TMK9}.",SYNCRIP HNRPQ NSAP1,
O60841,cytoplasm [GO:0005737]; cytosol [GO:0005829],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q05D44}.,EIF5B IF2 KIAA0741,
O60925,prefoldin complex [GO:0016272],,PFDN1 PFD1,
O75347,cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; nucleolus [GO:0005730],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.",TBCA,
O75531,condensed chromosome [GO:0000793]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear envelope [GO:0005635]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Barrier-to-autointegration factor: Nucleus {ECO:0000269|PubMed:16495336, ECO:0000269|PubMed:24600006}. Cytoplasm {ECO:0000269|PubMed:16495336, ECO:0000269|PubMed:24600006}. Chromosome {ECO:0000269|PubMed:16495336}. Nucleus envelope {ECO:0000269|PubMed:24600006}. Note=Significantly enriched at the nuclear inner membrane, diffusely throughout the nucleus during interphase and concentrated at the chromosomes during the M-phase. The phosphorylated form (by VRK1 or vaccinia virus B1 kinase) shows a cytoplasmic localization whereas the unphosphorylated form locates almost exclusively in the nucleus (PubMed:24600006, PubMed:16495336). May be included in HIV-1 virions via its interaction with viral GAG polyprotein. {ECO:0000269|PubMed:16495336, ECO:0000269|PubMed:24600006}.",BANF1 BAF BCRG1,
O75533,catalytic step 2 spliceosome [GO:0071013]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U11/U12 snRNP [GO:0034693]; U12-type spliceosomal complex [GO:0005689]; U2 snRNP [GO:0005686]; U2-type precatalytic spliceosome [GO:0071005]; U2-type prespliceosome [GO:0071004],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:27720643, ECO:0000269|PubMed:28541300}. Nucleus speckle. Note=During mitosis, transiently dispersed from the nuclear speckles to the cytoplasm.",SF3B1 SAP155,
O75534,CRD-mediated mRNA stability complex [GO:0070937]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: Cytoplasm.,CSDE1 D1S155E KIAA0885 NRU UNR,
O75821,cytoplasm [GO:0005737]; cytosol [GO:0005829]; eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; perinuclear region of cytoplasm [GO:0048471],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03006}. Nucleus {ECO:0000255|HAMAP-Rule:MF_03006, ECO:0000269|PubMed:17094969}. Cytoplasm, perinuclear region {ECO:0000255|HAMAP-Rule:MF_03006, ECO:0000269|PubMed:17094969}. Note=Colocalizes with AIFM1 in the nucleus and perinuclear region.",EIF3G EIF3S4,
O76003,cell cortex [GO:0005938]; cytosol [GO:0005829]; dendrite [GO:0030425]; nucleus [GO:0005634]; Z disc [GO:0030018],"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000305|PubMed:27519415}. Cytoplasm, cell cortex {ECO:0000269|PubMed:10636891}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000250|UniProtKB:Q9CQM9}. Note=Under the plasma membrane (By similarity). After PMA stimulation, GLRX3 and PRKCQ/PKC-theta translocate to a more extended submembrane area (By similarity). In the Z line, found associated with CSRP3 (By similarity). {ECO:0000250|UniProtKB:Q9CQM9}.",GLRX3 PICOT TXNL2 HUSSY-22,
O94805,nBAF complex [GO:0071565]; NuA4 histone acetyltransferase complex [GO:0035267]; nucleolus [GO:0005730]; nucleus [GO:0005634]; SWI/SNF complex [GO:0016514],SUBCELLULAR LOCATION: Nucleus {ECO:0000303|PubMed:26601204}.,ACTL6B ACTL6 BAF53B,
O95394,cytosol [GO:0005829],,PGM3 AGM1,
O95777,Lsm2-8 complex [GO:0120115]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; U2-type precatalytic spliceosome [GO:0071005]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U6 snRNP [GO:0005688],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10523320, ECO:0000269|PubMed:26912367, ECO:0000269|PubMed:28781166}.",LSM8,
O95861,cytosol [GO:0005829],,BPNT1,
P02042,blood microparticle [GO:0072562]; cytosol [GO:0005829]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833],,HBD,
P02545,cytosol [GO:0005829]; intermediate filament [GO:0005882]; lamin filament [GO:0005638]; nuclear envelope [GO:0005635]; nuclear lamina [GO:0005652]; nuclear membrane [GO:0031965]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15372542}. Nucleus envelope {ECO:0000269|PubMed:29599122}. Nucleus lamina. Nucleus, nucleoplasm. Note=Farnesylation of prelamin-A/C facilitates nuclear envelope targeting and subsequent cleaveage by ZMPSTE24/FACE1 to remove the farnesyl group produces mature lamin-A/C, which can then be inserted into the nuclear lamina. EMD is required for proper localization of non-farnesylated prelamin-A/C.; SUBCELLULAR LOCATION: Isoform C: Nucleus speckle {ECO:0000269|PubMed:16061563}.",LMNA LMN1,
P02549,actin cytoskeleton [GO:0015629]; axon [GO:0030424]; cuticular plate [GO:0032437]; cytosol [GO:0005829]; intrinsic component of the cytoplasmic side of the plasma membrane [GO:0031235]; spectrin [GO:0008091]; spectrin-associated cytoskeleton [GO:0014731],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cytoplasm, cell cortex.",SPTA1 SPTA,
P02795,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471],,MT2A CES1 MT2,
P04183,cytosol [GO:0005829],SUBCELLULAR LOCATION: Cytoplasm.,TK1,
P05114,chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=Cytoplasmic enrichment upon phosphorylation. The RNA edited version localizes to the nucleus.,HMGN1 HMG14,
P05455,"cytoplasm [GO:0005737]; nuclear chromosome, telomeric region [GO:0000784]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]",SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,SSB,
P06454,cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Nucleus.,PTMA TMSA,
P06748,centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; protein-DNA complex [GO:0032993]; ribonucleoprotein complex [GO:1990904]; spindle pole centrosome [GO:0031616],"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:19208757, ECO:0000269|PubMed:22528486, ECO:0000269|PubMed:25818168, ECO:0000269|PubMed:25956029}. Nucleus, nucleoplasm {ECO:0000269|PubMed:25818168}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843}. Note=Generally nucleolar, but is translocated to the nucleoplasm in case of serum starvation or treatment with anticancer drugs. Has been found in the cytoplasm in patients with primary acute myelogenous leukemia (AML), but not with secondary AML. Can shuttle between cytoplasm and nucleus. Co- localizes with the methylated form of RPS10 in the granular component (GC) region of the nucleolus. Colocalized with nucleolin and APEX1 in nucleoli. Isoform 1 of NEK2 is required for its localization to the centrosome during mitosis.",NPM1 NPM,
P07305,actin cytoskeleton [GO:0015629]; Golgi apparatus [GO:0005794]; nuclear body [GO:0016604]; nuclear chromatin [GO:0000790]; nuclear euchromatin [GO:0005719]; nucleoplasm [GO:0005654]; nucleosome [GO:0000786]; nucleus [GO:0005634]; transcriptional repressor complex [GO:0017053],"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00837, ECO:0000269|PubMed:18993075}. Chromosome {ECO:0000255|PROSITE-ProRule:PRU00837, ECO:0000269|PubMed:18993075}. Note=The RNA edited version has been localized to nuclear speckles. During mitosis, it appears in the vicinity of condensed chromosomes.",H1F0 H1FV,
P08243,cytosol [GO:0005829],,ASNS TS11,
P08579,catalytic step 2 spliceosome [GO:0071013]; fibrillar center [GO:0001650]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28076346, ECO:0000269|PubMed:28502770, ECO:0000269|PubMed:28781166}.",SNRPB2,
P08621,nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U1 snRNP [GO:0005685],"SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:17656373}. Nucleus, nucleoplasm {ECO:0000269|PubMed:17656373, ECO:0000269|PubMed:21113136}. Note=Colocalizes with SCNM1 and LUC7L2 in nuclear speckles. {ECO:0000250|UniProtKB:Q62376}.",SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1,
P0C7H8,cytosol [GO:0005829]; keratin filament [GO:0045095],,KRTAP2-3 KAP2.3 KRTAP2.3,
P0CB48,nucleus [GO:0005634],SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00267}.,UBTFL6,
P0DP91,nucleus [GO:0005634],SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26218421}.,CSB-PGBD3,
P10155,cytosol [GO:0005829]; nucleoplasm [GO:0005654]; ribonucleoprotein complex [GO:1990904],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17289661}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs.,RO60 SSA2 TROVE2,
P10412,nuclear chromatin [GO:0000790]; nuclear euchromatin [GO:0005719]; nuclear heterochromatin [GO:0005720]; nuclear nucleosome [GO:0000788]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Nucleus. Chromosome. Note=Mainly localizes in heterochromatin. Dysplays a punctuate staining pattern in the nucleus.,HIST1H1E H1F4,
P12524,nuclear chromatin [GO:0000790]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00981, ECO:0000269|PubMed:2548855}.",MYCL BHLHE38 LMYC MYCL1,
P13797,actin filament [GO:0005884]; actin filament bundle [GO:0032432]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: Cytoplasm.,PLS3,
P14324,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654],SUBCELLULAR LOCATION: Cytoplasm.,FDPS FPS KIAA1293,
P14678,catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; histone pre-mRNA 3'end processing complex [GO:0071204]; methylosome [GO:0034709]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small nuclear ribonucleoprotein complex [GO:0030532]; SMN-Sm protein complex [GO:0034719]; spliceosomal complex [GO:0005681]; telomerase holoenzyme complex [GO:0005697]; U12-type spliceosomal complex [GO:0005689]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]; U2-type prespliceosome [GO:0071004]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U4 snRNP [GO:0005687]; U5 snRNP [GO:0005682]; U7 snRNP [GO:0005683],"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:18984161}. Nucleus {ECO:0000269|PubMed:11574479, ECO:0000269|PubMed:11991638, ECO:0000269|PubMed:26912367, ECO:0000269|PubMed:28076346, ECO:0000269|PubMed:28502770, ECO:0000269|PubMed:28781166}. Note=SMN-mediated assembly into core snRNPs occurs in the cytosol before SMN-mediated transport to the nucleus to be included in spliceosomes. {ECO:0000305}.",SNRPB COD SNRPB1,
P17096,cytosol [GO:0005829]; focal adhesion [GO:0005925]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II transcription factor complex [GO:0090575]; senescence-associated heterochromatin focus [GO:0035985]; transcription factor complex [GO:0005667],SUBCELLULAR LOCATION: Nucleus. Chromosome.,HMGA1 HMGIY,
P18124,cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; ribonucleoprotein complex [GO:1990904],,RPL7,
P18621,cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; nucleus [GO:0005634],,RPL17,
P19623,cytosol [GO:0005829],,SRM SPS1 SRML1,
P20042,cytoplasm [GO:0005737]; cytosol [GO:0005829]; eukaryotic translation initiation factor 2 complex [GO:0005850],,EIF2S2 EIF2B,
P20290,cytosol [GO:0005829]; nascent polypeptide-associated complex [GO:0005854]; nucleus [GO:0005634]; polysomal ribosome [GO:0042788],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10982809}. Nucleus {ECO:0000269|PubMed:10982809}. Note=The heterodimer with NACA is cytoplasmic.,BTF3 NACB OK/SW-cl.8,
P20810,cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020],,CAST,
P20962,nucleus [GO:0005634],,PTMS,
P23193,nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor TFIID complex [GO:0005669],SUBCELLULAR LOCATION: Nucleus.,TCEA1 GTF2S TFIIS,
P23246,chromatin [GO:0000785]; dendrite cytoplasm [GO:0032839]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; paraspeckles [GO:0042382]; RNA polymerase II transcription factor complex [GO:0090575],"SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:25765647}. Nucleus matrix {ECO:0000269|PubMed:10653975, ECO:0000269|PubMed:19439179, ECO:0000269|PubMed:9848648}. Cytoplasm {ECO:0000269|PubMed:19439179}. Note=Predominantly in nuclear matrix. {ECO:0000269|PubMed:19439179}.",SFPQ PSF,
P23588,cytosol [GO:0005829]; eukaryotic translation initiation factor 4F complex [GO:0016281]; polysome [GO:0005844],,EIF4B,
P25398,cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nucleoplasm [GO:0005654],SUBCELLULAR LOCATION: Cytoplasm.,RPS12,
P26368,commitment complex [GO:0000243]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U2AF [GO:0089701]; U2-type prespliceosome [GO:0071004],SUBCELLULAR LOCATION: Nucleus.,U2AF2 U2AF65,
P26373,cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634],,RPL13 BBC1 OK/SW-cl.46,
P27635,cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; nucleus [GO:0005634]; protein-containing complex [GO:0032991],,RPL10 DXS648E QM,
P27816,axon [GO:0030424]; axoneme [GO:0005930]; cytosol [GO:0005829]; microtubule [GO:0005874]; microtubule associated complex [GO:0005875]; microtubule cytoskeleton [GO:0015630]; mitotic spindle [GO:0072686]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.",MAP4,
P29144,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19747897}. Nucleus {ECO:0000269|PubMed:19747897}. Note=Translocates to the nucleus in responce to gamma-irradiation.,TPP2,
P29218,cytoplasm [GO:0005737]; cytosol [GO:0005829],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17068342}.,IMPA1 IMPA,
P29692,cytoplasm [GO:0005737]; cytosol [GO:0005829]; eukaryotic translation elongation factor 1 complex [GO:0005853]; fibrillar center [GO:0001650]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Isoform 2: Nucleus {ECO:0000269|PubMed:21597468}.,EEF1D EF1D,
P30566,cytosol [GO:0005829],,ADSL AMPS,
P31153,cytosol [GO:0005829]; methionine adenosyltransferase complex [GO:0048269],,MAT2A AMS2 MATA2,
P31943,catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Nucleus, nucleoplasm.",HNRNPH1 HNRPH HNRPH1,
P31948,chaperone complex [GO:0101031]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]; protein-containing complex [GO:0032991],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q60864}. Nucleus {ECO:0000250|UniProtKB:Q60864}.,STIP1,
P32969,cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleus [GO:0005634]; ribosome [GO:0005840],,RPL9 OK/SW-cl.103; RPL9P7; RPL9P8; RPL9P9,
P37235,membrane [GO:0016020],SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.,HPCAL1 BDR1,
P39687,cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471],SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Endoplasmic reticulum. Note=Translocates to the cytoplasm during the process of neuritogenesis (By similarity). Shuttles between nucleus and cytoplasm. {ECO:0000250}.,ANP32A C15orf1 LANP MAPM PHAP1,
P40429,cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; focal adhesion [GO:0005925]; GAIT complex [GO:0097452]; large ribosomal subunit [GO:0015934]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:14567916}.,RPL13A,
P42166,chromatin [GO:0000785]; nuclear envelope [GO:0005635]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Nucleus. Chromosome. Note=Expressed diffusely throughout the nucleus.,TMPO LAP2,
P43243,membrane [GO:0016020]; nuclear inner membrane [GO:0005637]; nuclear matrix [GO:0016363],SUBCELLULAR LOCATION: Nucleus matrix.,MATR3 KIAA0723,
P43487,centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear envelope [GO:0005635]; nuclear pore [GO:0005643]; nucleus [GO:0005634],,RANBP1,
P46109,cytosol [GO:0005829]; extrinsic component of postsynaptic membrane [GO:0098890]; neuromuscular junction [GO:0031594]; nucleoplasm [GO:0005654]; protein-containing complex [GO:0032991],,CRKL,
P46776,cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020],,RPL27A,
P46783,cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribosome [GO:0005840],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20159986}. Nucleus, nucleolus {ECO:0000269|PubMed:20159986}. Note=Localized in the granular component (GC) region of the nucleolus. Methylation is required for its localization in the GC region. Colocalizes with NPS1 in the GC region of the nucleolus.",RPS10,
P47813,cytosol [GO:0005829],,EIF1AX EIF1A EIF4C,
P47914,cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; membrane [GO:0016020],,RPL29,
P48147,cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020],SUBCELLULAR LOCATION: Cytoplasm.,PREP PEP,
